time,open,high,low,close,tick_volume,spread,real_volume
2019-10-14,1487.42,1497.01,1482.72,1492.97,59742,24,0
2019-10-15,1492.88,1498.28,1477.08,1480.91,66665,24,0
2019-10-16,1480.96,1491.43,1476.92,1489.8,71793,23,0
2019-10-17,1489.8,1497.28,1483.32,1491.7,64529,23,0
2019-10-18,1491.45,1493.95,1484.76,1489.68,56983,23,0
2019-10-21,1491.53,1495.12,1481.57,1484.24,57499,23,0
2019-10-22,1484.42,1488.88,1480.73,1487.43,54984,23,0
2019-10-23,1487.37,1496.05,1487.37,1491.78,51844,23,0
2019-10-24,1491.6,1503.91,1487.88,1503.53,53588,23,0
2019-10-25,1503.4,1517.87,1500.5,1504.14,59569,24,0
2019-10-28,1504.51,1508.08,1489.9,1492.31,60561,23,0
2019-10-29,1492.42,1494.66,1483.49,1487.57,57584,23,0
2019-10-30,1487.7,1496.46,1481.02,1495.55,58675,23,0
2019-10-31,1495.35,1514.14,1493.52,1512.42,56872,23,0
2019-11-01,1512.38,1515.79,1503.17,1513.68,57195,23,0
2019-11-04,1513.26,1514.71,1504.29,1509.39,48719,23,0
2019-11-05,1509.08,1509.53,1479.42,1483.32,67592,23,0
2019-11-06,1482.7,1494.08,1482.14,1490.29,55644,24,0
2019-11-07,1489.86,1492.1,1460.5,1468.38,77339,23,0
2019-11-08,1468.06,1472.84,1456.1,1458.87,65464,23,0
2019-11-11,1459.27,1466.32,1448.08,1455.75,49256,23,0
2019-11-12,1454.85,1460.26,1445.52,1456.05,68449,23,0
2019-11-13,1455.72,1466.94,1455.28,1463.23,65986,23,0
2019-11-14,1462.59,1474.5,1461.02,1471.09,62032,24,0
2019-11-15,1470.75,1471.17,1462.32,1467.59,49951,24,0
2019-11-18,1467.01,1473.8,1456.25,1471.11,52503,24,0
2019-11-19,1471.08,1475.18,1464.67,1472.3,56495,24,0
2019-11-20,1472.0,1478.7,1465.83,1471.4,76960,23,0
2019-11-21,1474.84,1475.53,1462.26,1464.25,90864,23,0
2019-11-22,1463.92,1473.13,1461.2,1461.72,61774,23,0
2019-11-25,1460.9,1462.02,1453.94,1454.95,47075,23,0
2019-11-26,1454.61,1462.79,1449.98,1461.17,44987,24,0
2019-11-27,1461.3,1461.74,1452.45,1454.18,44421,23,0
2019-11-28,1454.3,1458.14,1454.04,1455.6,26014,24,0
2019-11-29,1455.15,1466.46,1452.89,1462.86,38381,24,0
2019-12-02,1464.04,1464.96,1453.84,1462.21,51062,23,0
2019-12-03,1461.81,1481.67,1459.73,1477.15,52626,23,0
2019-12-04,1476.65,1483.96,1471.31,1474.38,62895,23,0
2019-12-05,1474.49,1480.24,1472.81,1475.73,55416,23,0
2019-12-06,1475.36,1479.4,1458.61,1459.36,48945,24,0
2019-12-09,1459.49,1465.3,1458.42,1461.41,37689,25,0
2019-12-10,1461.47,1469.08,1459.89,1464.11,52376,24,0
2019-12-11,1463.6,1478.83,1462.58,1474.67,50670,24,0
2019-12-12,1474.57,1486.64,1463.81,1469.64,52732,23,0
2019-12-13,1466.25,1477.95,1462.28,1475.44,60703,23,0
2019-12-16,1475.26,1479.74,1473.05,1476.04,40074,25,0
2019-12-17,1475.99,1480.4,1474.09,1475.99,40193,25,0
2019-12-18,1475.85,1479.19,1470.32,1475.32,36168,23,0
2019-12-19,1475.17,1481.6,1473.14,1478.74,36742,23,0
2019-12-20,1478.35,1480.9,1475.74,1477.75,32601,23,0
2019-12-23,1478.13,1486.08,1477.38,1485.28,32789,23,0
2019-12-24,1485.1,1499.77,1484.29,1498.27,26705,23,0
2019-12-26,1503.57,1512.51,1502.67,1510.89,26925,23,0
2019-12-27,1510.83,1515.25,1507.25,1510.91,40076,23,0
2019-12-30,1511.46,1516.03,1510.66,1514.93,41178,23,0
2019-12-31,1514.4,1525.2,1514.4,1521.85,32617,23,0
2020-01-02,1520.53,1531.28,1518.33,1528.98,35736,23,0
2020-01-03,1528.8,1553.41,1527.82,1551.93,65223,23,0
2020-01-06,1559.66,1587.42,1559.61,1565.55,80078,23,0
2020-01-07,1564.91,1577.24,1555.19,1573.91,65989,23,0
2020-01-08,1576.29,1611.28,1552.14,1556.05,99319,23,0
2020-01-09,1556.1,1561.17,1540.12,1552.09,61068,23,0
2020-01-10,1551.86,1563.01,1545.65,1561.63,54501,23,0
2020-01-13,1561.29,1561.29,1546.53,1547.72,51719,23,0
2020-01-14,1547.85,1548.72,1535.87,1546.23,59297,23,0
2020-01-15,1545.93,1558.09,1545.82,1556.03,52756,23,0
2020-01-16,1555.89,1557.98,1547.9,1552.3,46009,23,0
2020-01-17,1552.09,1561.12,1549.25,1557.11,46325,23,0
2020-01-20,1557.03,1562.69,1556.27,1560.72,24284,25,0
2020-01-21,1559.88,1568.51,1546.23,1558.01,59007,23,0
2020-01-22,1557.51,1559.14,1550.07,1558.69,49048,23,0
2020-01-23,1558.49,1567.83,1551.8,1562.6,56531,23,0
2020-01-24,1562.11,1575.66,1556.41,1571.11,56096,23,0
2020-01-27,1580.62,1588.2,1575.79,1581.73,70512,23,0
2020-01-28,1581.23,1582.93,1565.43,1567.29,58264,23,0
2020-01-29,1566.31,1577.9,1563.27,1576.59,51389,23,0
2020-01-30,1576.41,1585.91,1572.25,1573.91,66699,23,0
2020-01-31,1573.35,1590.38,1570.85,1588.13,66919,23,0
2020-02-03,1593.11,1593.53,1569.93,1576.41,63931,23,0
2020-02-04,1576.91,1579.47,1548.9,1552.7,57455,23,0
2020-02-05,1552.39,1562.3,1547.33,1555.95,59597,23,0
2020-02-06,1555.89,1568.15,1552.39,1566.53,51766,23,0
2020-02-07,1566.27,1573.97,1560.93,1570.13,66934,23,0
2020-02-10,1571.96,1576.91,1567.92,1571.79,52673,23,0
2020-02-11,1571.73,1573.97,1561.99,1567.59,53398,23,0
2020-02-12,1567.67,1570.35,1561.85,1565.53,48132,24,0
2020-02-13,1565.5,1578.19,1565.46,1575.85,57539,23,0
2020-02-14,1575.87,1584.93,1572.94,1583.71,44665,23,0
2020-02-17,1582.12,1583.67,1578.77,1580.93,23503,23,0
2020-02-18,1584.31,1604.97,1581.85,1601.11,56059,23,0
2020-02-19,1601.31,1612.83,1599.45,1611.31,58226,23,0
2020-02-20,1611.85,1623.61,1603.76,1619.19,71835,23,0
2020-02-21,1619.85,1649.15,1618.85,1643.25,78782,23,0
2020-02-24,1653.25,1689.17,1650.82,1658.33,100211,23,0
2020-02-25,1658.89,1663.49,1624.96,1634.55,111134,23,0
2020-02-26,1634.27,1654.87,1624.75,1640.5,103163,23,0
2020-02-27,1640.69,1660.27,1635.12,1643.99,104055,23,0
2020-02-28,1643.69,1649.35,1562.85,1585.79,115218,23,0
2020-03-02,1591.39,1610.85,1575.23,1589.31,109019,23,0
2020-03-03,1584.06,1649.21,1584.06,1640.29,97004,23,0
2020-03-04,1639.25,1652.55,1631.76,1636.39,97036,23,0
2020-03-05,1637.17,1674.49,1634.89,1671.89,94811,23,0
2020-03-06,1671.99,1691.93,1643.64,1674.09,103385,23,0
2020-03-09,1691.67,1703.36,1657.37,1679.49,77744,23,0
2020-03-10,1678.79,1679.99,1641.74,1648.87,71897,23,0
2020-03-11,1649.77,1671.16,1632.89,1634.85,65127,23,0
2020-03-12,1633.14,1649.92,1560.7,1577.07,57698,23,0
2020-03-13,1578.65,1597.79,1504.52,1529.2,61707,23,0
2020-03-16,1563.79,1574.89,1451.07,1514.42,68623,23,0
2020-03-17,1513.65,1553.77,1465.35,1528.09,56069,23,0
2020-03-18,1527.4,1545.95,1472.96,1486.12,52775,23,0
2020-03-19,1485.81,1500.87,1464.14,1472.61,46494,34,0
2020-03-20,1470.87,1515.89,1455.17,1497.25,45408,34,0
2020-03-23,1502.72,1561.1,1482.9,1553.16,39887,34,0
2020-03-24,1554.7,1632.02,1553.1,1625.23,19290,0,0
